colonies_number,yield_per_colony,stocks,average_price
16000,58,28000,62
52000,79,986000,68
50000,60,900000,64
420000,93,4687000,60
45000,60,1404000,68
230000,86,1780000,63
70000,62,260000,69
8000,129,103000,55
125000,48,1020000,65
11000,74,212000,102
12000,63,166000,68
50000,68,612000,72
17000,67,182000,71
3000,44,30000,103
33000,119,275000,61
11000,45,223000,100
7000,35,81000,114
97000,92,3570000,72
165000,82,1218000,66
16000,70,146000,64
23000,67,308000,65
106000,80,1781000,66
60000,73,1402000,68
9000,29,34000,96
8000,34,57000,71
19000,65,247000,68
70000,75,2100000,66
12000,52,162000,81
220000,108,3802000,63
25000,62,930000,72
5000,76,141000,91
52000,52,2488000,71
25000,43,376000,69
9000,90,65000,128
240000,85,4896000,65
4000,53,70000,114
84000,106,1959000,64
32000,33,232000,61
5000,67,131000,83
9000,45,97000,55
60000,59,637000,54
13000,41,48000,116
73000,79,2134000,71
38000,36,150000,68
16000,64,102000,86
32000,60,307000,84
40000,84,336000,87
390000,70,4641000,84
30000,74,1132000,79
240000,105,2268000,91
75000,68,306000,89
8000,155,62000,80
110000,45,1535000,90
11000,74,285000,130
9000,75,412000,107
58000,67,933000,98
16000,51,294000,96
3000,60,23000,127
37000,106,784000,84
10000,23,23000,126
7000,32,40000,111
90000,96,4320000,110
150000,77,1617000,91
17000,80,299000,85
22000,74,326000,92
117000,60,1825000,88
65000,75,1755000,92
14000,61,68000,105
5000,45,119000,106
15000,77,219000,94
68000,80,2557000,88
12000,44,53000,106
230000,86,4945000,90
24000,70,840000,98
4000,59,54000,107
55000,59,1071000,92
23000,46,370000,99
9000,90,81000,113
240000,97,6751000,91
5000,64,90000,137
82000,83,1361000,87
34000,46,328000,85
4000,83,93000,108
7000,50,119000,136
57000,58,1025000,89
10000,59,207000,169
69000,78,2422000,83
40000,73,526000,91
14000,66,92000,81
32000,80,1024000,72
40000,95,2774000,70
400000,75,9000000,70
35000,55,982000,82
240000,67,2734000,73
75000,46,587000,79
9000,146,158000,86
120000,64,2304000,72
7000,69,222000,127
8000,71,352000,113
51000,74,2000000,86
17000,71,688000,81
3000,60,54000,148
38000,115,656000,70
8000,19,9000,70
6000,40,65000,159
85000,70,3273000,77
145000,73,2011000,74
19000,73,777000,73
24000,77,517000,78
107000,120,4237000,74
61000,67,2738000,77
14000,61,171000,114
8000,49,161000,104
15000,60,396000,87
72000,60,2246000,85
8000,58,139000,119
245000,100,7350000,74
22000,80,827000,85
4000,58,97000,137
47000,53,1445000,79
22000,48,528000,100
240000,65,8736000,74
6000,62,126000,147
94000,106,3188000,75
32000,52,699000,75
5000,63,249000,83
8000,53,157000,145
54000,52,1348000,76
8000,70,280000,111
79000,60,2797000,90
38000,62,660000,75
16000,71,159000,72
55000,60,1485000,64
53000,65,1688000,59
450000,83,12326000,62
27000,72,1594000,70
230000,98,4508000,64
75000,56,307000,69
8000,118,66000,75
120000,50,2220000,65
9000,71,204000,119
9000,92,489000,85
50000,78,2301000,70
16000,46,390000,87
3000,50,51000,140
41000,111,865000,59
10000,26,117000,69
7000,44,92000,110
80000,85,3672000,66
140000,79,2765000,65
18000,86,898000,58
23000,66,455000,76
115000,122,5472000,64
64000,70,2240000,86
10000,46,175000,165
11000,49,167000,76
14000,55,470000,76
65000,80,2444000,70
8000,59,151000,138
230000,128,8832000,63
18000,78,702000,83
4000,51,63000,124
50000,45,1620000,90
23000,66,698000,80
225000,95,10901000,64
7000,64,121000,132
91000,77,1612000,62
30000,58,557000,65
6000,64,207000,107
8000,37,86000,133
58000,51,1361000,64
6000,55,155000,114
89000,91,5264000,72
46000,60,524000,68
17000,68,185000,56
52000,62,1548000,62
52000,89,2592000,53
505000,60,10302000,53
27000,76,1436000,68
228000,102,4186000,53
65000,51,497000,64
8000,80,32000,78
120000,48,3110000,59
9000,66,327000,115
10000,81,437000,90
40000,65,2028000,65
13000,67,854000,111
3000,50,12000,124
48000,114,821000,49
14000,22,89000,83
6000,46,50000,164
73000,85,3475000,66
145000,82,3210000,61
18000,73,591000,54
24000,65,437000,68
122000,70,2135000,60
58000,77,1965000,61
9000,45,257000,154
10000,44,154000,57
15000,52,476000,77
69000,70,2077000,66
9000,46,104000,162
255000,105,8836000,59
20000,74,784000,72
6000,45,49000,134
45000,57,2026000,80
25000,60,705000,76
224000,104,13046000,60
8000,51,106000,130
108000,81,2799000,64
26000,45,433000,68
6000,66,222000,63
7000,35,86000,117
52000,50,1170000,60
6000,39,152000,109
80000,75,4560000,68
37000,72,746000,61
16000,78,187000,59
40000,59,1322000,73
55000,93,3529000,57
440000,70,11396000,58
29000,60,957000,62
232000,105,2923000,54
55000,57,376000,63
7000,112,125000,81
100000,47,2679000,52
8000,61,146000,117
8000,65,286000,103
30000,67,1206000,67
15000,68,520000,91
3000,48,40000,135
43000,94,1334000,52
11000,21,143000,75
6000,46,52000,114
72000,75,2970000,60
150000,90,3105000,57
17000,72,649000,69
23000,75,362000,60
148000,86,5982000,59
50000,87,2610000,59
10000,35,95000,145
11000,35,200000,61
15000,64,739000,72
58000,80,2274000,55
11000,49,243000,143
290000,115,13340000,56
18000,65,585000,79
7000,35,64000,126
48000,51,1665000,66
22000,45,554000,76
235000,121,12796000,57
9000,61,104000,143
105000,79,2986000,57
24000,41,462000,60
7000,59,211000,68
7000,42,103000,150
52000,54,1151000,58
7000,54,234000,122
84000,90,4385000,68
39000,93,798000,59
14000,73,235000,71
43000,59,1142000,78
58000,98,1872000,66
425000,65,7735000,67
26000,55,529000,70
220000,100,3432000,62
55000,57,188000,70
8000,87,84000,85
100000,46,1610000,66
6000,76,251000,172
8000,76,213000,86
33000,51,875000,73
13000,51,530000,85
3000,78,94000,131
45000,106,572000,60
11000,20,106000,70
4000,46,55000,172
76000,60,2827000,78
135000,81,1859000,63
17000,66,224000,60
25000,61,381000,68
136000,102,4578000,65
43000,48,1115000,66
11000,50,44000,201
11000,34,71000,82
15000,70,525000,65
53000,70,1781000,68
11000,44,145000,158
280000,96,9408000,65
16000,81,505000,85
4000,47,105000,141
44000,44,1200000,69
17000,57,514000,87
235000,65,12220000,64
9000,59,147000,137
97000,79,1533000,64
23000,38,315000,65
7000,81,249000,91
9000,52,94000,117
42000,52,917000,67
7000,65,410000,155
67000,81,3419000,76
38000,77,468000,63
12000,86,103000,111
38000,63,1197000,110
55000,88,1065000,124
440000,53,3498000,129
24000,60,576000,122
220000,93,2026000,112
50000,52,52000,110
7000,136,29000,110
100000,57,1653000,135
9000,80,130000,142
8000,62,233000,114
33000,70,901000,137
17000,52,407000,156
3000,54,47000,165
